,role
GOLLINI,P
TOLOI,D
DJIMSITI,D
MASIELLO A,D
HATEBOER,D
DE ROON,C
FREULER,C
GOSENS,D
CASTAGNE,D
PASALIC,C
PESSINA,C
BARROW,A
ZAPATA D,A
GOMEZ A,A
GASPERINI,ALL
SKORUPSKI,P
GONZALEZ G,D
FALCINELLI,A
DANILO,D
HELANDER,D
MATTIELLO,D
POLI,C
ORSOLINI,A
PULGAR,C
NAGY,C
DZEMAILI,C
DIJKS,D
PALACIO,A
SANTANDER,A
INZAGHI F,ALL
SORRENTINO,P
SECULIN,P
TOMOVIC,D
ROSSETTINI,D
BANI,D
CACCIATORE,D
DEPAOLI,C
RIGONI N,C
RADOVANOVIC,C
HETEMAJ,C
OBI,C
GIACCHERINI,C
STEPINSKI,A
DJORDJEVIC,A
D'ANNA,ALL
TERRACCIANO,P
DI LORENZO,D
RASMUSSEN,D
SILVESTRE,D
ANTONELLI,D
PASQUAL,D
KRUNIC,C
CAPEZZI,C
ACQUAH,C
ZAJC,C
VESELI,D
LA GUMINA,A
BENNACER,C
CAPUTO,A
ANDREAZZOLI,ALL
DRAGOWSKI,P
MILENKOVIC,D
PEZZELLA GER,D
VITOR HUGO,D
BIRAGHI,D
FERNANDES,C
VERETOUT,C
GERSON,C
BENASSI,C
CHIESA,C
SOTTIL,A
SIMEONE,A
PJACA,A
MIRALLAS,A
PIOLI,ALL
SPORTIELLO,P
ZAMPANO,D
GOLDANIGA,D
SALAMON,D
KRAJNC,D
MOLINARO,D
CHIBSAH,C
MAIELLO,C
SODDIMO,C
HALLFREDSSON,C
CIANO,A
PINAMONTI,A
PERICA,A
MATARESE,A
LONGO M,ALL
RADU I,P
BIRASCHI,D
GUNTER,D
ZUKANOVIC,D
LAZOVIC,C
ROMULO,C
MIGUEL VELOSO,C
MAZZITELLI,C
OMEONGA,C
BESSA,C
CRISCITO,D
KOUAME',A
PIATEK,A
PANDEV,A
JURIC,ALL
HANDANOVIC,P
D'AMBROSIO,D
DE VRIJ,D
MIRANDA,D
DALBERT,D
PERISIC,C
VECINO,C
BROZOVIC,C
KARAMOH,A
ASAMOAH,D
POLITANO,A
MARTINEZ L,A
KEITA B,A
ICARDI,A
SPALLETTI,ALL
SZCZESNY,P
CANCELO,D
BONUCCI,D
CHIELLINI,D
ALEX SANDRO,D
PJANIC,C
KHEDIRA,C
CAN ,C
CUADRADO,C
BERNARDESCHI,C
DYBALA,A
DOUGLAS COSTA,C
MANDZUKIC,A
CRISTIANO RONALDO,A
ALLEGRI,ALL
STRAKOSHA,P
LUIZ FELIPE,D
BASTOS,D
ACERBI,D
RADU,D
MARUSIC,C
PAROLO,C
CATALDI,C
BADELJ,C
CORREA,C
MILINKOVIC-SAVIC,C
CACERES,D
LUIS ALBERTO,C
